60409	1
60409	2
60410	1
60415	1
60431	2
60574	1
60575	1
60581	1
60584	1
60622	1
60640	1
60642	1
60642	2
60643	1
60643	2
60647	2
60659	1
60741	2
60780	2
60800	1
60801	1
60802	1
60802	2
60803	1
60803	2
60804	1
60804	2
60805	1
60805	2
60806	1
60806	2
60807	1
60807	2
60808	1
60808	2
60809	1
60809	2
60810	1
60810	2
60811	1
60811	2
60838	1
60839	1
60843	1
60844	1
60845	1
60845	2
60860	1
60893	1
60894	1
60894	2
60895	1
60895	2
60896	1
60899	2
60910	2
60917	2
60925	1
60946	1
60947	1
60947	2
60957	1
60967	1
60970	1
60974	2
60990	2
60993	1
61016	1
61020	2
61022	2
61034	2
61039	1
61062	1
61094	1
61099	1
61099	2
61121	1
61132	2
61144	1
61167	1
61174	1
61186	1
61208	1
61218	2
61231	1
61241	1
61242	1
61245	1
61251	1
62695	1
62697	2
62710	1
62714	1
62726	1
62728	1
62729	1
62735	1
63015	1
63025	1
63039	1
63041	2
63068	1
63075	2
63166	1
63182	2
63190	1
63199	2
63200	2
63210	1
63215	1
63242	1
63268	1
63269	1
63270	1
63272	2
63298	2
63304	1
63305	1
63318	1
63345	1
63398	1
63443	2
63446	1
63463	1
63465	2
63491	1
63518	1
63523	1
63526	1
63527	1
63527	2
63528	1
63528	2
63529	1
63529	2
63530	1
63530	2
63531	1
63531	2
63532	1
63562	2
63563	1
63589	1
63589	2
63590	1
63611	1
63621	2
63632	1
63634	2
63635	2
63649	1
63652	1
63674	1
63696	1
63696	2
63718	1
63725	2
63761	1
63783	1
63800	2
63805	1
63811	1
63812	1
63814	1
63846	1
63852	1
63869	2
63874	1
63881	1
63881	2
63892	1
63904	2
63907	1
63908	1
63911	1
63912	1
63912	2
63913	1
63913	2
63914	1
63915	1
63915	2
63924	1
63946	1
63958	2
63990	1
63994	2
64012	1
64014	2
64034	1
64053	2
64056	1
64078	1
64100	1
64136	1
64144	1
64229	2
64240	1
64251	1
64273	2
64278	1
64298	1
64298	2
64299	1
64304	2
64316	1
64325	2
64335	2
64343	2
64344	1
64353	2
64371	2
64372	1
64399	1
64399	2
64427	1
64453	1
64505	1
64533	1
64559	1
64560	1
64564	1
64566	1
64570	1
64571	1
64571	2
64572	1
64573	1
64573	2
64574	1
64574	2
64575	1
64575	2
64576	1
64577	1
64577	2
64578	1
64595	2
64599	1
64603	2
64627	1
64655	1
64673	2
64681	2
64683	1
64692	1
64692	2
64693	1
64693	2
64715	1
64716	2
64737	2
64738	2
64739	2
64741	1
64742	1
64768	2
64774	1
64774	2
64775	1
64775	2
64776	1
64795	1
64795	2
64819	1
64821	2
64826	2
64827	2
64833	1
64834	1
64834	2
64835	1
64835	2
64836	1
64836	2
64837	1
64837	2
64838	1
64838	2
64839	1
64843	1
64848	2
64900	2
64907	1
64929	1
64938	2
64948	1
64960	2
64974	1
64976	1
64979	1
64998	1
65017	1
65018	1
65018	2
65019	1
65019	2
65020	1
65020	2
65021	1
65021	2
65022	1
65022	2
65023	1
65054	1
65131	1
65153	1
65154	1
65154	2
65155	1
65155	2
65156	1
65156	2
65157	1
65157	2
65158	1
65166	1
65167	1
65195	1
65214	1
65221	2
65242	1
65263	1
65264	1
65264	2
65265	1
65265	2
68040	1
68041	1
68042	1
68043	1
68044	1
68045	1
68046	1
68047	1
68048	1
68049	1
68050	1
68051	1
68052	1
68053	1
68053	2
68061	1
68081	2
68093	2
68096	2
68098	1
68098	2
68099	1
68100	2
68103	1
68104	1
-1	-1
RunNumber	Reason (1 lack of data)
		       (2 data drops)  
